Cod_Cliente,Max_Valor,Mediana_Valor,Media_Valor,Std_Valor,Num_Transacciones,Ocurrencias_Madrugada,Ocurrencias_Mañana,Ocurrencias_Tarde,Ocurrencias_Noche,Ocurrencias_PAGO TARJETA DE CREDITO,Ocurrencias_TRANSFER BANCOS,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes,Ocurrencias_Mitad_Mes,Ocurrencias_Principio_Mes,Hora_Mas_Frecuente,Transaccion_Mas_Frecuente,Dia_Mas_Frecuente
1599067,800.0,63.0,124.32886956521739,164.88415466392524,115,0,58,54,3,15,57,0,43,46,42,27,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599069,784.0,85.0,137.6382795698925,167.87015664691603,93,20,48,21,4,34,59,0,0,24,23,46,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599071,3900.0,150.0,429.9368131868132,655.7819859643042,91,0,22,58,11,19,50,0,22,34,34,23,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599074,1672.8,200.0,269.66238095238094,360.3810600841331,42,0,14,23,5,5,37,0,0,10,9,23,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599075,1156.35,264.905,318.00541666666663,263.42383445768013,72,0,44,20,8,9,63,0,0,32,31,9,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599080,4536.0,112.66,414.36846153846153,810.5687290025456,52,0,15,19,18,0,52,0,0,3,9,40,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599081,1000.0,240.0,302.4,274.3861330315364,25,0,7,18,0,0,7,0,18,7,7,11,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Principio_Mes
1599082,350.0,28.25,69.76460784313726,79.43918748489646,102,0,42,60,0,0,65,0,37,30,44,28,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599090,2337.0,195.0,347.1034482758621,404.8926082289317,58,0,24,17,17,0,26,32,0,12,22,24,Ocurrencias_Mañana,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_Principio_Mes
1599095,408.0,90.0,114.72166666666665,108.6949604714223,24,0,13,6,5,0,0,0,24,9,8,7,Ocurrencias_Mañana,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1599096,340.0,100.0,110.49428571428572,63.38478731078824,28,0,7,11,10,4,24,0,0,9,5,14,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599097,2188.44,85.0,257.77741935483874,461.42324509404415,31,0,11,17,3,2,14,0,15,5,13,13,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Mitad_Mes
1599098,540.0,187.5,192.80555555555554,135.89698187428476,36,0,21,11,4,7,29,0,0,12,5,19,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599100,930.0,158.0,169.39473684210526,165.68213452656934,38,0,24,14,0,22,8,0,8,16,10,12,Ocurrencias_Mañana,Ocurrencias_PAGO TARJETA DE CREDITO,Ocurrencias_Final_Mes
1599105,500.0,42.5,98.11409090909092,113.05045476427836,44,0,11,33,0,1,14,0,29,19,14,11,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1599107,500.0,100.0,149.28318584070797,100.30600226187762,113,0,67,26,20,13,100,0,0,46,16,51,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599109,336.0,250.0,212.5483870967742,127.1969178635178,31,0,17,14,0,0,31,0,0,7,15,9,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
