Cod_Cliente,min,max
1602014,109.0,2700.0
1602015,4.87,620.0
1602019,50.0,1525.0
1602022,5.0,1200.0
1602026,10.0,300.0
1602033,300.01,3500.01
1602035,23.0,2000.0
1602043,60.0,2325.0
1602044,30.0,1000.0
1602045,100.0,500.0
1602048,15.0,1033.0
1602049,10.0,600.0
1602051,14.0,596.0
1602053,24.0,1425.0
1602063,20.0,1680.0
1602065,15.0,1600.0
1602067,1.0,370.0
1602085,15.0,350.0
1602086,20.0,440.0
1602087,3.0,358.0
1602097,20.0,1998.0
1602098,1.0,320.0
1602100,30.0,600.0
1602109,115.0,1000.0
1602112,20.0,500.0
1602113,10.0,1000.0
1602118,20.0,1175.0
1602120,10.0,4410.0
1602126,20.0,2100.0
1602132,18.0,522.0
1602136,25.0,523.0
1602158,20.0,900.0
1602159,50.0,3000.0
1602161,10.0,700.0
1602178,7.0,2000.0
1602180,24.0,1500.0
1602185,15.0,850.0
1602188,12.9,1512.36
1602207,10.0,1100.0
1602213,2.0,255.0
1602215,10.0,600.0
1602221,20.0,500.0
1602223,20.0,1641.02
1602227,19.35,1010.0
1602231,35.0,699.25
1602239,105.0,1000.0
1602241,1.0,1183.7
1602248,70.0,392.5
1602255,14.0,400.0
1602260,21.5,865.14
1602262,19.38,2000.0
1602267,5.0,1900.0
1602272,8.33,300.0
1602275,70.0,626.67
1602280,2.0,550.0
1602283,8.4,700.0
1602285,5.0,1000.0
1602287,20.0,210.0
1602296,20.0,1400.0
1602299,65.0,2000.0
1602301,1.0,150.0
1602307,5.15,4000.0
1602324,3.0,500.0
1602330,1.5,500.0
1602335,20.0,2500.0
1602340,26.0,630.0
1602344,9.76,2459.45
1602353,25.0,605.0
1602354,15.0,2000.0
1602355,20.0,568.62
1602358,10.0,1000.0
1602361,1.0,2650.0
1602364,30.0,500.0
1602366,20.0,2000.0
1602367,1.0,1081.5
1602373,1.5,300.0
1602379,45.0,2000.0
1602386,10.0,7000.0
